"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"WT_5XFAD1","WT_5XFAD",1,"17",34,0.00509210723378763
"WT_5XFAD1","WT_5XFAD",1,"1",584,0.0874644301332934
"WT_5XFAD1","WT_5XFAD",1,"0",1091,0.163396735060656
"WT_5XFAD1","WT_5XFAD",1,"14",147,0.0220158753931406
"WT_5XFAD1","WT_5XFAD",1,"23",51,0.00763816085068144
"WT_5XFAD1","WT_5XFAD",1,"8",115,0.0172233038789876
"WT_5XFAD1","WT_5XFAD",1,"7",371,0.0555638759922121
"WT_5XFAD1","WT_5XFAD",1,"15",137,0.0205181967949678
"WT_5XFAD1","WT_5XFAD",1,"18",87,0.0130298038041036
"WT_5XFAD1","WT_5XFAD",1,"5",429,0.0642504118616145
"WT_5XFAD1","WT_5XFAD",1,"4",464,0.0694922869552194
"WT_5XFAD1","WT_5XFAD",1,"11",280,0.0419350007488393
"WT_5XFAD1","WT_5XFAD",1,"24",33,0.00494233937397035
"WT_5XFAD1","WT_5XFAD",1,"10",366,0.0548150366931257
"WT_5XFAD1","WT_5XFAD",1,"20",71,0.0106335180470271
"WT_5XFAD1","WT_5XFAD",1,"2",509,0.0762318406469972
"WT_5XFAD1","WT_5XFAD",1,"19",49,0.00733862513104688
"WT_5XFAD1","WT_5XFAD",1,"9",486,0.0727871798711996
"WT_5XFAD1","WT_5XFAD",1,"27",9,0.00134791073835555
"WT_5XFAD1","WT_5XFAD",1,"26",15,0.00224651789725925
"WT_5XFAD1","WT_5XFAD",1,"25",12,0.0017972143178074
"WT_5XFAD1","WT_5XFAD",1,"6",408,0.0611052868054515
"WT_5XFAD1","WT_5XFAD",1,"30",2,0.000299535719634566
"WT_5XFAD1","WT_5XFAD",1,"3",509,0.0762318406469972
"WT_5XFAD1","WT_5XFAD",1,"21",23,0.00344466077579751
"WT_5XFAD1","WT_5XFAD",1,"28",22,0.00329489291598023
"WT_5XFAD1","WT_5XFAD",1,"29",11,0.00164744645799012
"WT_5XFAD2","WT_5XFAD",2,"13",126,0.0321346595256312
"WT_5XFAD2","WT_5XFAD",2,"25",16,0.00408059168579444
"WT_5XFAD2","WT_5XFAD",2,"16",53,0.0135169599591941
"WT_5XFAD2","WT_5XFAD",2,"26",12,0.00306044376434583
"WT_5XFAD2","WT_5XFAD",2,"4",352,0.0897730170874777
"WT_5XFAD2","WT_5XFAD",2,"11",100,0.0255036980362153
"WT_5XFAD2","WT_5XFAD",2,"17",206,0.0525376179546034
"WT_5XFAD2","WT_5XFAD",2,"14",106,0.0270339199183882
"WT_5XFAD2","WT_5XFAD",2,"1",382,0.0974241264983423
"WT_5XFAD2","WT_5XFAD",2,"0",555,0.141545524100995
"WT_5XFAD2","WT_5XFAD",2,"18",54,0.0137719969395562
"WT_5XFAD2","WT_5XFAD",2,"27",3,0.000765110941086458
"WT_5XFAD2","WT_5XFAD",2,"8",128,0.0326447334863555
"WT_5XFAD2","WT_5XFAD",2,"7",120,0.0306044376434583
"WT_5XFAD2","WT_5XFAD",2,"15",97,0.0247385870951288
"WT_5XFAD2","WT_5XFAD",2,"24",13,0.00331548074470798
"WT_5XFAD2","WT_5XFAD",2,"5",174,0.0443764345830145
"WT_5XFAD2","WT_5XFAD",2,"23",10,0.00255036980362153
"WT_5XFAD2","WT_5XFAD",2,"22",40,0.0102014792144861
"WT_5XFAD2","WT_5XFAD",2,"21",12,0.00306044376434583
"WT_5XFAD2","WT_5XFAD",2,"10",72,0.018362662586075
"WT_5XFAD2","WT_5XFAD",2,"20",65,0.0165774037235399
"WT_5XFAD2","WT_5XFAD",2,"2",366,0.0933435348125478
"WT_5XFAD2","WT_5XFAD",2,"19",22,0.00561081356796736
"WT_5XFAD2","WT_5XFAD",2,"9",247,0.0629941341494517
"WT_5XFAD2","WT_5XFAD",2,"28",11,0.00280540678398368
"WT_5XFAD2","WT_5XFAD",2,"3",329,0.0839071665391482
"WT_5XFAD2","WT_5XFAD",2,"6",249,0.063504208110176
"WT_5XFAD2","WT_5XFAD",2,"29",1,0.000255036980362153
"WT_5XFAD3","WT_5XFAD",3,"16",108,0.0142555438225977
"WT_5XFAD3","WT_5XFAD",3,"13",250,0.0329989440337909
"WT_5XFAD3","WT_5XFAD",3,"15",153,0.02019535374868
"WT_5XFAD3","WT_5XFAD",3,"0",1192,0.157338965153115
"WT_5XFAD3","WT_5XFAD",3,"11",251,0.0331309398099261
"WT_5XFAD3","WT_5XFAD",3,"17",47,0.00620380147835269
"WT_5XFAD3","WT_5XFAD",3,"7",394,0.0520063357972545
"WT_5XFAD3","WT_5XFAD",3,"6",433,0.0571541710665259
"WT_5XFAD3","WT_5XFAD",3,"14",245,0.0323389651531151
"WT_5XFAD3","WT_5XFAD",3,"4",530,0.0699577613516367
"WT_5XFAD3","WT_5XFAD",3,"30",2,0.000263991552270327
"WT_5XFAD3","WT_5XFAD",3,"10",349,0.0460665258711721
"WT_5XFAD3","WT_5XFAD",3,"1",543,0.0716737064413939
"WT_5XFAD3","WT_5XFAD",3,"2",545,0.0719376979936642
"WT_5XFAD3","WT_5XFAD",3,"19",114,0.0150475184794087
"WT_5XFAD3","WT_5XFAD",3,"18",68,0.00897571277719113
"WT_5XFAD3","WT_5XFAD",3,"27",31,0.00409186906019007
"WT_5XFAD3","WT_5XFAD",3,"8",285,0.0376187961985216
"WT_5XFAD3","WT_5XFAD",3,"26",20,0.00263991552270327
"WT_5XFAD3","WT_5XFAD",3,"25",39,0.00514783526927138
"WT_5XFAD3","WT_5XFAD",3,"24",47,0.00620380147835269
"WT_5XFAD3","WT_5XFAD",3,"5",412,0.0543822597676874
"WT_5XFAD3","WT_5XFAD",3,"23",50,0.00659978880675818
"WT_5XFAD3","WT_5XFAD",3,"22",53,0.00699577613516367
"WT_5XFAD3","WT_5XFAD",3,"21",68,0.00897571277719113
"WT_5XFAD3","WT_5XFAD",3,"20",95,0.0125395987328405
"WT_5XFAD3","WT_5XFAD",3,"3",508,0.0670538542766631
"WT_5XFAD3","WT_5XFAD",3,"29",8,0.00105596620908131
"WT_5XFAD3","WT_5XFAD",3,"28",25,0.00329989440337909
"WT_5XFAD3","WT_5XFAD",3,"9",711,0.0938489968321014
"WT1","WT",1,"22",87,0.00886037274671555
"WT1","WT",1,"25",37,0.00376820450147673
"WT1","WT",1,"13",287,0.0292290457276708
"WT1","WT",1,"16",127,0.0129341073429066
"WT1","WT",1,"4",712,0.0725124758122008
"WT1","WT",1,"14",299,0.0304511661065282
"WT1","WT",1,"23",67,0.00682350544862002
"WT1","WT",1,"0",1452,0.147876565841735
"WT1","WT",1,"19",153,0.0155820348304308
"WT1","WT",1,"18",147,0.0149709746410021
"WT1","WT",1,"17",262,0.0266829616050514
"WT1","WT",1,"26",40,0.00407373459619106
"WT1","WT",1,"7",537,0.054689886953865
"WT1","WT",1,"15",203,0.0206742030756696
"WT1","WT",1,"24",46,0.00468479478561972
"WT1","WT",1,"5",668,0.0680313677563907
